date,metric,z_score,value,direction
2025-07-13,activity_steps,-2.032024731699228,2405.0,low
2025-07-22,activity_steps,-2.1324988492349095,1867.0,low
2025-08-08,activity_steps,2.7701444457460105,17636.0,high
2025-09-04,activity_steps,2.099034806794529,17254.0,high
2025-09-16,activity_steps,2.0746333422043395,16707.0,high
2025-09-17,activity_steps,2.156952719359699,17552.0,high
2025-09-21,activity_steps,2.932744666643438,21720.0,high
2025-10-08,activity_steps,2.5213666899161415,23192.0,high
2025-12-15,activity_steps,-2.02741828878584,323.0,low
2026-02-05,activity_steps,-2.0295389733777283,3225.0,low
2026-02-07,activity_steps,-2.2590326049648626,1186.0,low
2025-07-13,activity_active_calories,-2.389309201544457,40.0,low
2025-07-28,activity_active_calories,2.0408313893819727,1651.0,high
2025-09-04,activity_active_calories,3.0063068919921876,1932.0,high
2025-10-08,activity_active_calories,2.522566489200116,1490.0,high
2025-10-09,activity_active_calories,2.0691490894435685,1415.0,high
2026-02-04,activity_active_calories,2.367305049743179,1804.0,high
2026-02-07,activity_active_calories,-2.072170343660329,50.0,low
2025-07-24,activity_resting_hr,2.0003623985637375,63.0,high
2025-07-27,activity_resting_hr,2.2279735111736927,65.0,high
2025-08-17,activity_resting_hr,-2.2664037465803863,51.0,low
2025-09-13,activity_resting_hr,-2.539304363545662,46.0,low
2025-11-07,activity_resting_hr,2.124989973439209,58.0,high
2025-12-09,activity_resting_hr,2.0498212763112127,57.0,high
2025-12-12,activity_resting_hr,2.16701076772169,58.0,high
2026-01-04,activity_resting_hr,2.121167059857758,62.0,high
2026-01-14,activity_resting_hr,-2.0008761141390714,53.0,low
2026-01-15,activity_resting_hr,-2.171581397453462,52.0,low
2026-02-05,activity_resting_hr,2.2524716319004607,61.0,high
2026-02-15,activity_resting_hr,2.7031189245257385,62.0,high
2026-03-30,activity_resting_hr,2.0687180439637225,63.0,high
2025-07-20,sleep_total_hours,-2.12812092622208,3.8,low
2025-07-23,sleep_total_hours,-2.000901285965481,3.72,low
2025-09-20,sleep_total_hours,-3.5468210159236455,2.92,low
2025-10-03,sleep_total_hours,-2.288476308866547,3.38,low
2026-01-30,sleep_total_hours,2.347090030891337,9.18,high
2026-02-01,sleep_total_hours,2.192880872615768,9.28,high
2026-02-02,sleep_total_hours,2.629953615705014,10.01,high
