x_metric,y_metric,x_col,y_col,lag_days,correlation,p_value,significant,n
Sleep Hours,Sleep Hours,sleep_total_hours,sleep_total_hours,0,1.0,0.0,True,267
Sleep Hours,Sleep Score,sleep_total_hours,sleep_score,0,0.7719257578271248,4.6277406656057985e-54,True,267
Sleep Hours,HRV,sleep_total_hours,hrv_last_night_avg,0,0.1753964525834821,0.00411206182941781,True,266
Sleep Hours,Steps,sleep_total_hours,activity_steps,0,0.03863679920385779,0.5296088549066731,False,267
Sleep Hours,Active Cal,sleep_total_hours,activity_active_calories,0,0.10638781022425052,0.08271199597198882,False,267
Sleep Hours,Resting HR,sleep_total_hours,activity_resting_hr,0,-0.02652508953553659,0.6661296105575936,False,267
Sleep Hours,Battery,sleep_total_hours,body_battery_charged,0,0.3117835770708841,1.9832532100408598e-07,True,267
Sleep Score,Sleep Hours,sleep_score,sleep_total_hours,0,0.7719257578271248,4.6277406656057985e-54,True,267
Sleep Score,Sleep Score,sleep_score,sleep_score,0,0.9999999999999998,0.0,True,267
Sleep Score,HRV,sleep_score,hrv_last_night_avg,0,0.30115509490768433,5.579237920950199e-07,True,266
Sleep Score,Steps,sleep_score,activity_steps,0,0.06330941721877673,0.3026978857857565,False,267
Sleep Score,Active Cal,sleep_score,activity_active_calories,0,0.10122105213617616,0.09885151827600411,False,267
Sleep Score,Resting HR,sleep_score,activity_resting_hr,0,-0.1811779737478018,0.002966280463845341,True,267
Sleep Score,Battery,sleep_score,body_battery_charged,0,0.4657130142397785,8.865842521445254e-16,True,267
HRV,Sleep Hours,hrv_last_night_avg,sleep_total_hours,0,0.17539645258348208,0.00411206182941781,True,266
HRV,Sleep Score,hrv_last_night_avg,sleep_score,0,0.30115509490768433,5.579237920950199e-07,True,266
HRV,HRV,hrv_last_night_avg,hrv_last_night_avg,0,0.9999999999999999,0.0,True,267
HRV,Steps,hrv_last_night_avg,activity_steps,0,0.1700935732958642,0.005325651151257646,True,267
HRV,Active Cal,hrv_last_night_avg,activity_active_calories,0,0.019472328966748206,0.7514578299360378,False,267
HRV,Resting HR,hrv_last_night_avg,activity_resting_hr,0,-0.6416937752127518,2.214103247154708e-32,True,267
HRV,Battery,hrv_last_night_avg,body_battery_charged,0,0.5193086960866011,7.68353093908656e-20,True,267
Steps,Sleep Hours,activity_steps,sleep_total_hours,0,0.03863679920385778,0.5296088549066731,False,267
Steps,Sleep Score,activity_steps,sleep_score,0,0.06330941721877674,0.3026978857857565,False,267
Steps,HRV,activity_steps,hrv_last_night_avg,0,0.17009357329586422,0.005325651151257646,True,267
Steps,Steps,activity_steps,activity_steps,0,0.9999999999999998,0.0,True,277
Steps,Active Cal,activity_steps,activity_active_calories,0,0.6972210241509813,1.204155908161553e-41,True,277
Steps,Resting HR,activity_steps,activity_resting_hr,0,-0.21944478903058787,0.00023255950128375137,True,277
Steps,Battery,activity_steps,body_battery_charged,0,0.10551621861690709,0.07958560452342657,False,277
Active Cal,Sleep Hours,activity_active_calories,sleep_total_hours,0,0.10638781022425052,0.08271199597198882,False,267
Active Cal,Sleep Score,activity_active_calories,sleep_score,0,0.10122105213617615,0.09885151827600411,False,267
Active Cal,HRV,activity_active_calories,hrv_last_night_avg,0,0.019472328966748206,0.7514578299360378,False,267
Active Cal,Steps,activity_active_calories,activity_steps,0,0.6972210241509813,1.204155908161553e-41,True,277
Active Cal,Active Cal,activity_active_calories,activity_active_calories,0,1.0,0.0,True,277
Active Cal,Resting HR,activity_active_calories,activity_resting_hr,0,0.0816192021985393,0.17556658128961633,False,277
Active Cal,Battery,activity_active_calories,body_battery_charged,0,0.05167517533976322,0.3915942758369847,False,277
Resting HR,Sleep Hours,activity_resting_hr,sleep_total_hours,0,-0.026525089535536575,0.6661296105575936,False,267
Resting HR,Sleep Score,activity_resting_hr,sleep_score,0,-0.18117797374780184,0.002966280463845341,True,267
Resting HR,HRV,activity_resting_hr,hrv_last_night_avg,0,-0.641693775212752,2.214103247154708e-32,True,267
Resting HR,Steps,activity_resting_hr,activity_steps,0,-0.2194447890305879,0.00023255950128375137,True,277
Resting HR,Active Cal,activity_resting_hr,activity_active_calories,0,0.0816192021985393,0.17556658128961633,False,277
Resting HR,Resting HR,activity_resting_hr,activity_resting_hr,0,1.0,0.0,True,277
Resting HR,Battery,activity_resting_hr,body_battery_charged,0,-0.4650859339032862,2.8449014027628546e-16,True,277
Battery,Sleep Hours,body_battery_charged,sleep_total_hours,0,0.3117835770708841,1.9832532100408598e-07,True,267
Battery,Sleep Score,body_battery_charged,sleep_score,0,0.4657130142397785,8.865842521445254e-16,True,267
Battery,HRV,body_battery_charged,hrv_last_night_avg,0,0.5193086960866011,7.68353093908656e-20,True,267
Battery,Steps,body_battery_charged,activity_steps,0,0.1055162186169071,0.07958560452342657,False,277
Battery,Active Cal,body_battery_charged,activity_active_calories,0,0.05167517533976324,0.3915942758369847,False,277
Battery,Resting HR,body_battery_charged,activity_resting_hr,0,-0.4650859339032862,2.8449014027628546e-16,True,277
