date,sleep_score,sleep_total_hours,sleep_deep_hours,sleep_light_hours,sleep_rem_hours,sleep_awake_min,hrv_last_night_avg,hrv_weekly_avg,stress_overall,body_battery_charged,body_battery_drained,activity_steps,activity_distance_km,activity_active_calories,activity_resting_hr,activity_max_hr,activity_moderate_intensity_min,activity_vigorous_intensity_min,activity_floors_climbed
2025-06-26,93.0,8.08,2.4,3.4,2.28,3.0,47.0,,,72.0,86.0,10202.0,8.86,717.0,55.0,158.0,18.0,35.0,20.3399
2025-06-27,79.0,6.15,1.15,3.88,1.12,15.0,54.0,,,90.0,66.0,8813.0,7.24,937.0,58.0,146.0,85.0,25.0,5.40617
2025-06-28,86.0,9.58,1.35,6.25,1.98,12.0,56.0,,,76.0,84.0,7616.0,6.61,994.0,55.0,156.0,25.0,52.0,5.03445
2025-06-29,58.0,8.1,1.12,5.82,1.17,83.0,52.0,52.0,,60.0,84.0,7658.0,6.11,1172.0,57.0,155.0,56.0,51.0,13.09449
2025-06-30,59.0,6.81,1.27,4.87,0.68,82.0,49.0,51.0,,91.0,72.0,9648.0,7.92,907.0,55.0,167.0,21.0,19.0,5.22408
2025-07-01,89.0,8.7,0.9,5.65,2.15,10.0,62.0,53.0,,68.0,84.0,8891.0,7.09,875.0,55.0,142.0,62.0,31.0,23.3855
2025-07-02,62.0,5.3,1.18,3.27,0.85,28.0,49.0,52.0,,59.0,51.0,7885.0,6.86,956.0,58.0,162.0,46.0,39.0,5.23228
2025-07-03,87.0,8.67,0.77,6.02,1.88,10.0,63.0,55.0,,74.0,89.0,10282.0,7.95,978.0,54.0,143.0,60.0,30.0,17.45013
2025-07-04,38.0,4.53,1.02,3.3,0.22,80.0,43.0,53.0,,29.0,25.0,15202.0,14.26,1476.0,60.0,153.0,65.0,60.0,1.53084
2025-07-05,80.0,9.63,0.53,7.28,1.82,3.0,63.0,54.0,,73.0,76.0,9670.0,8.16,883.0,58.0,144.0,34.0,31.0,5.54823
2025-07-06,34.0,4.63,1.07,3.35,0.22,93.0,39.0,52.0,,34.0,23.0,3153.0,2.51,280.0,60.0,126.0,0.0,8.0,0.74508
2025-07-07,86.0,10.45,0.88,7.25,2.32,1.0,54.0,52.0,,94.0,75.0,7895.0,6.76,754.0,57.0,152.0,53.0,31.0,13.76837
2025-07-08,87.0,8.25,1.08,5.18,1.98,10.0,50.0,51.0,,72.0,71.0,8346.0,6.9,934.0,56.0,132.0,99.0,25.0,4.47441
2025-07-09,63.0,7.7,1.03,5.6,1.07,68.0,47.0,51.0,,48.0,71.0,6838.0,5.45,1059.0,57.0,156.0,56.0,46.0,20.38976
2025-07-10,63.0,6.87,1.77,3.9,1.2,51.0,44.0,48.0,,47.0,57.0,10229.0,8.69,1481.0,60.0,161.0,31.0,96.0,9.33858
2025-07-11,50.0,6.58,1.12,5.0,0.47,74.0,47.0,49.0,,56.0,49.0,5774.0,4.93,812.0,61.0,142.0,73.0,21.0,4.07907
2025-07-12,77.0,8.45,0.63,6.62,1.2,9.0,55.0,48.0,,65.0,59.0,6571.0,6.05,549.0,59.0,130.0,45.0,21.0,3.68176
2025-07-13,64.0,5.52,1.0,3.95,0.57,24.0,48.0,49.0,,65.0,42.0,2405.0,1.92,40.0,62.0,102.0,0.0,0.0,0.0
2025-07-14,78.0,7.85,0.98,6.0,0.87,8.0,55.0,49.0,,56.0,72.0,12552.0,10.32,1179.0,59.0,152.0,47.0,63.0,1.0794
2025-07-15,80.0,8.17,1.28,5.35,1.53,16.0,51.0,49.0,,57.0,61.0,8817.0,7.5,1105.0,56.0,146.0,85.0,40.0,3.29298
2025-07-16,76.0,7.22,1.05,4.77,1.4,18.0,47.0,49.0,,62.0,59.0,6194.0,5.13,889.0,58.0,143.0,44.0,38.0,16.55774
2025-07-17,76.0,6.97,0.98,4.73,1.25,9.0,52.0,51.0,,76.0,50.0,10913.0,9.14,938.0,57.0,167.0,11.0,44.0,11.33104
2025-07-18,74.0,8.85,1.28,6.03,1.53,37.0,52.0,51.0,,55.0,75.0,8693.0,7.68,1118.0,58.0,139.0,107.0,33.0,18.62205
2025-07-19,66.0,7.78,1.08,6.2,0.5,41.0,55.0,51.0,,47.0,62.0,6136.0,4.64,829.0,59.0,145.0,76.0,21.0,5.32841
2025-07-20,21.0,3.8,0.62,3.18,0.0,103.0,31.0,48.0,,19.0,14.0,7087.0,5.68,266.0,59.0,112.0,0.0,1.0,1.0
2025-07-21,71.0,6.17,0.42,4.55,1.2,1.0,49.0,48.0,,59.0,62.0,6603.0,5.27,505.0,62.0,130.0,6.0,17.0,0.0
2025-07-22,78.0,7.38,0.63,5.5,1.25,7.0,51.0,48.0,,68.0,70.0,1867.0,1.5,183.0,58.0,120.0,0.0,1.0,0.0
2025-07-23,41.0,3.72,0.68,2.87,0.17,35.0,41.0,47.0,,18.0,18.0,6792.0,5.41,532.0,62.0,123.0,0.0,5.0,0.0
2025-07-24,62.0,6.03,0.6,4.82,0.62,59.0,41.0,45.0,,41.0,41.0,3654.0,2.93,564.0,63.0,122.0,2.0,4.0,0.0
2025-07-25,44.0,3.72,1.4,2.13,0.18,1.0,41.0,43.0,,33.0,21.0,2591.0,2.07,233.0,63.0,171.0,0.0,4.0,0.0
2025-07-26,76.0,6.77,1.52,4.17,1.08,1.0,47.0,42.0,,57.0,66.0,4561.0,3.69,900.0,62.0,157.0,10.0,39.0,3.11188
2025-07-27,52.0,5.68,0.93,4.4,0.35,52.0,40.0,44.0,,28.0,31.0,8497.0,8.24,1213.0,65.0,241.0,32.0,65.0,2.26608
2025-07-28,78.0,6.8,1.43,4.32,1.05,1.0,49.0,44.0,,56.0,56.0,10498.0,9.9,1651.0,61.0,177.0,53.0,85.0,9.0
2025-07-29,60.0,7.87,1.47,5.88,0.52,57.0,55.0,45.0,,78.0,56.0,4704.0,3.77,509.0,60.0,134.0,7.0,16.0,4.75722
2025-07-30,67.0,7.18,1.02,5.08,1.08,67.0,46.0,45.0,,44.0,59.0,7816.0,6.63,767.0,64.0,145.0,66.0,26.0,13.00361
2025-07-31,76.0,6.7,1.33,3.93,1.43,16.0,48.0,46.0,,60.0,52.0,8697.0,7.08,671.0,62.0,147.0,4.0,37.0,8.41667
2025-08-01,75.0,6.73,1.33,4.67,0.73,16.0,57.0,49.0,,72.0,76.0,10545.0,8.71,1222.0,58.0,165.0,83.0,49.0,16.1122
2025-08-02,80.0,7.62,0.82,5.8,1.0,4.0,54.0,50.0,,64.0,72.0,10913.0,9.96,1190.0,58.0,175.0,18.0,72.0,9.58596
2025-08-03,72.0,6.2,1.37,3.77,1.07,19.0,45.0,50.0,,73.0,35.0,12036.0,10.51,993.0,59.0,171.0,9.0,41.0,6.09318
2025-08-04,80.0,9.85,1.25,6.55,2.05,36.0,47.0,50.0,,71.0,66.0,10165.0,8.11,536.0,59.0,138.0,0.0,0.0,7.12959
2025-08-05,74.0,6.08,1.12,3.75,1.22,2.0,49.0,49.0,,58.0,64.0,9376.0,7.51,880.0,59.0,142.0,42.0,8.0,5.14665
2025-08-06,71.0,6.06,1.0,4.22,0.85,24.0,57.0,51.0,,82.0,80.0,11865.0,10.26,1199.0,56.0,171.0,25.0,30.0,6.77887
2025-08-07,77.0,7.1,1.08,4.9,1.12,12.0,48.0,51.0,,47.0,56.0,8039.0,7.33,795.0,58.0,141.0,23.0,11.0,0.72572
2025-08-08,60.0,5.0,1.28,3.17,0.55,13.0,44.0,49.0,,50.0,43.0,17636.0,14.97,1513.0,57.0,165.0,51.0,53.0,4.0643
2025-08-09,97.0,8.52,1.6,4.52,2.4,0.0,55.0,49.0,,102.0,76.0,3298.0,2.64,725.0,55.0,157.0,19.0,9.0,0.0
2025-08-10,83.0,8.43,1.53,5.75,1.15,21.0,50.0,50.0,,91.0,71.0,12470.0,10.61,1494.0,55.0,164.0,46.0,42.0,2.32513
2025-08-11,81.0,8.56,1.0,6.38,1.18,34.0,51.0,50.0,,65.0,76.0,12639.0,10.92,872.0,55.0,157.0,39.0,19.0,1.77034
2025-08-12,82.0,8.42,1.1,5.82,1.5,33.0,50.0,50.0,,68.0,46.0,10304.0,9.23,698.0,58.0,170.0,32.0,18.0,3.24016
2025-08-13,53.0,7.08,1.35,4.72,1.02,81.0,47.0,49.0,,52.0,85.0,11453.0,11.2,1010.0,58.0,160.0,26.0,11.0,5.45801
2025-08-14,73.0,6.07,1.47,3.42,1.18,34.0,49.0,49.0,,73.0,70.0,9401.0,8.76,990.0,55.0,147.0,35.0,6.0,3.05774
2025-08-15,83.0,7.03,1.88,3.47,1.68,8.0,53.0,51.0,,88.0,77.0,8856.0,8.57,895.0,55.0,154.0,63.0,21.0,0.0
2025-08-16,95.0,8.08,1.63,4.78,1.67,3.0,51.0,50.0,,84.0,78.0,5701.0,5.2,865.0,53.0,164.0,41.0,18.0,0.0
2025-08-17,90.0,7.64,1.65,4.13,1.87,11.0,51.0,50.0,,80.0,91.0,12159.0,10.57,1185.0,51.0,161.0,27.0,36.0,0.0
2025-08-18,77.0,8.95,1.38,6.37,1.2,40.0,50.0,50.0,,77.0,79.0,4118.0,3.31,338.0,53.0,122.0,0.0,0.0,2.41043
2025-08-19,78.0,6.22,1.62,3.5,1.1,11.0,44.0,49.0,,60.0,51.0,14696.0,12.91,1280.0,54.0,172.0,17.0,32.0,4.55184
2025-08-20,90.0,7.63,1.68,3.8,2.15,11.0,50.0,50.0,,98.0,84.0,6077.0,5.78,863.0,53.0,141.0,30.0,9.0,1.00262
2025-08-21,91.0,8.88,1.67,5.37,1.85,11.0,54.0,50.0,,64.0,80.0,8347.0,8.53,714.0,53.0,168.0,16.0,24.0,2.0
2025-08-22,83.0,7.3,1.55,4.2,1.55,15.0,46.0,49.0,,79.0,42.0,8671.0,8.72,628.0,53.0,155.0,18.0,16.0,3.0
2025-08-23,88.0,8.21,1.97,4.58,1.67,17.0,52.0,50.0,,76.0,87.0,10156.0,9.13,1103.0,51.0,173.0,33.0,26.0,0.0
2025-08-24,65.0,7.34,1.85,4.5,1.0,63.0,51.0,50.0,,83.0,79.0,14257.0,12.31,859.0,51.0,162.0,23.0,19.0,4.0
2025-08-25,75.0,7.4,1.83,4.27,1.3,34.0,46.0,49.0,,69.0,74.0,9715.0,8.35,547.0,53.0,154.0,18.0,12.0,6.0
2025-08-26,85.0,8.52,1.52,5.32,1.68,16.0,51.0,50.0,,87.0,66.0,8249.0,7.84,490.0,54.0,160.0,16.0,13.0,4.46161
2025-08-27,71.0,7.78,1.0,6.23,0.55,36.0,59.0,51.0,,86.0,90.0,10065.0,8.57,575.0,49.0,163.0,11.0,18.0,14.62434
2025-08-28,65.0,7.93,1.63,5.05,1.25,60.0,60.0,52.0,,81.0,34.0,5978.0,4.46,578.0,50.0,185.0,14.0,30.0,7.77953
2025-08-29,97.0,8.63,1.85,4.42,2.37,5.0,62.0,54.0,,58.0,89.0,10124.0,8.89,754.0,50.0,141.0,15.0,0.0,13.57579
2025-08-30,69.0,6.12,1.6,3.28,1.23,39.0,56.0,55.0,,62.0,73.0,12951.0,11.12,574.0,52.0,177.0,5.0,25.0,13.0
2025-08-31,47.0,6.38,0.7,5.15,0.53,96.0,44.0,54.0,,64.0,45.0,10142.0,10.34,611.0,55.0,159.0,29.0,8.0,3.13156
2025-09-01,94.0,8.38,1.35,4.9,2.13,0.0,51.0,54.0,,96.0,85.0,5829.0,5.31,490.0,52.0,130.0,9.0,9.0,0.0
2025-09-02,92.0,7.7,1.8,4.47,1.43,2.0,54.0,55.0,,77.0,85.0,10706.0,9.73,863.0,51.0,168.0,32.0,26.0,14.48589
2025-09-03,82.0,6.68,1.77,3.78,1.13,0.0,63.0,55.0,,91.0,84.0,7222.0,6.16,574.0,50.0,153.0,13.0,15.0,10.23589
2025-09-04,79.0,7.38,1.03,5.12,1.23,29.0,68.0,56.0,,64.0,95.0,17254.0,16.63,1932.0,49.0,177.0,125.0,67.0,9.60761
2025-09-05,54.0,6.15,0.93,4.72,0.5,58.0,52.0,55.0,,67.0,58.0,6156.0,5.27,390.0,55.0,134.0,3.0,10.0,3.4206
2025-09-06,76.0,7.08,0.98,5.2,0.9,16.0,70.0,57.0,,86.0,65.0,9944.0,8.59,514.0,52.0,165.0,15.0,21.0,2.4357
2025-09-07,85.0,8.05,0.97,5.52,1.57,28.0,70.0,61.0,,107.0,78.0,12893.0,10.92,471.0,50.0,143.0,30.0,7.0,9.3399
2025-09-08,82.0,8.8,1.17,5.93,1.72,32.0,75.0,64.0,,55.0,91.0,11677.0,10.01,1112.0,50.0,170.0,52.0,36.0,5.18996
2025-09-09,74.0,7.7,1.98,4.98,0.73,48.0,60.0,65.0,,82.0,66.0,11720.0,9.7,630.0,52.0,169.0,18.0,23.0,16.15945
2025-09-10,71.0,7.42,1.47,5.08,0.87,41.0,67.0,66.0,,74.0,80.0,11105.0,9.37,644.0,48.0,150.0,17.0,6.0,20.64075
2025-09-11,48.0,6.17,1.43,4.52,0.22,98.0,52.0,63.0,,79.0,62.0,9020.0,7.67,539.0,53.0,156.0,25.0,16.0,5.5689
2025-09-12,86.0,8.1,1.2,5.5,1.4,11.0,70.0,66.0,,91.0,82.0,9270.0,8.02,554.0,49.0,147.0,12.0,12.0,23.05085
2025-09-13,76.0,7.85,1.43,5.17,1.25,36.0,77.0,67.0,,52.0,94.0,10740.0,5.78,1470.0,46.0,184.0,45.0,76.0,0.75492
2025-09-14,47.0,5.88,1.15,4.2,0.53,108.0,50.0,63.0,,54.0,37.0,12869.0,9.96,549.0,53.0,147.0,30.0,0.0,5.09219
2025-09-15,58.0,5.71,0.92,4.28,0.52,69.0,51.0,60.0,,72.0,60.0,8501.0,7.54,695.0,50.0,158.0,36.0,21.0,13.3855
2025-09-16,80.0,7.22,1.33,5.02,0.88,14.0,71.0,62.0,,81.0,82.0,16707.0,13.49,891.0,47.0,170.0,28.0,22.0,18.76706
2025-09-17,68.0,6.7,1.92,4.15,0.63,46.0,44.0,58.0,,34.0,52.0,17552.0,12.47,1413.0,54.0,161.0,78.0,29.0,7.44685
2025-09-18,65.0,5.8,0.92,4.32,0.57,21.0,46.0,57.0,,51.0,42.0,7450.0,5.47,381.0,55.0,139.0,1.0,3.0,17.021
2025-09-19,82.0,8.12,1.8,5.4,0.92,12.0,52.0,55.0,,70.0,71.0,11955.0,9.89,501.0,52.0,139.0,4.0,0.0,2.60269
2025-09-20,33.0,2.92,1.03,1.72,0.17,19.0,38.0,50.0,,83.0,45.0,10028.0,7.98,212.0,56.0,105.0,0.0,0.0,7.29003
2025-09-21,74.0,7.05,0.5,5.68,0.87,11.0,58.0,51.0,,35.0,71.0,21720.0,17.45,695.0,55.0,173.0,10.0,7.0,10.11778
2025-09-22,58.0,7.25,1.82,4.72,0.72,73.0,50.0,51.0,,62.0,37.0,10837.0,8.63,198.0,51.0,111.0,0.0,0.0,9.21654
2025-09-23,79.0,7.05,0.93,5.12,1.0,1.0,64.0,50.0,,61.0,85.0,8937.0,7.12,218.0,52.0,105.0,0.0,0.0,1.0
2025-09-24,58.0,5.62,1.23,3.6,0.78,58.0,58.0,52.0,,52.0,57.0,7611.0,6.09,414.0,53.0,134.0,2.0,0.0,4.35728
2025-09-25,56.0,5.02,0.7,4.05,0.27,4.0,53.0,53.0,,55.0,44.0,8360.0,6.92,245.0,52.0,124.0,0.0,0.0,4.0
2025-09-26,86.0,7.9,1.27,4.78,1.85,1.0,56.0,53.0,,69.0,67.0,3981.0,3.17,78.0,50.0,119.0,0.0,0.0,5.0
2025-09-27,87.0,7.91,0.95,5.52,1.45,3.0,61.0,57.0,,72.0,86.0,11439.0,9.45,603.0,49.0,150.0,13.0,1.0,5.00853
2025-09-28,51.0,5.07,1.05,4.02,0.0,47.0,56.0,57.0,,45.0,43.0,8682.0,7.0,249.0,55.0,114.0,0.0,0.0,3.18898
2025-09-29,56.0,5.47,1.62,3.73,0.12,1.0,53.0,57.0,,45.0,52.0,9999.0,8.05,357.0,54.0,147.0,0.0,0.0,14.12139
2025-09-30,84.0,9.02,1.5,6.0,1.52,10.0,58.0,56.0,,70.0,42.0,5383.0,4.32,403.0,51.0,147.0,5.0,0.0,1.70866
2025-10-01,62.0,5.72,0.78,4.15,0.78,41.0,53.0,56.0,,66.0,54.0,8707.0,7.58,400.0,52.0,135.0,1.0,0.0,16.41995
2025-10-02,86.0,7.77,1.53,5.1,1.13,11.0,67.0,57.0,,100.0,112.0,14693.0,12.66,755.0,48.0,153.0,29.0,5.0,9.28675
2025-10-03,38.0,3.38,1.32,2.07,0.0,24.0,62.0,58.0,,77.0,87.0,17644.0,14.46,872.0,46.0,156.0,22.0,2.0,10.53642
2025-10-04,73.0,6.22,0.98,4.55,0.68,11.0,68.0,59.0,,87.0,65.0,12970.0,10.47,597.0,50.0,133.0,2.0,0.0,6.20768
2025-10-05,81.0,6.92,1.15,4.37,1.4,3.0,61.0,60.0,,60.0,60.0,18059.0,14.04,445.0,51.0,113.0,0.0,0.0,9.35433
2025-10-06,88.0,8.08,2.27,4.17,1.65,0.0,63.0,62.0,,66.0,44.0,5207.0,5.13,251.0,50.0,98.0,0.0,0.0,0.73885
2025-10-07,84.0,7.3,0.82,4.78,1.7,21.0,66.0,63.0,,78.0,67.0,8831.0,7.05,203.0,48.0,100.0,0.0,0.0,4.11024
2025-10-08,88.0,8.89,1.45,5.3,2.15,8.0,57.0,63.0,,54.0,87.0,23192.0,19.45,1490.0,48.0,147.0,45.0,0.0,8.16732
2025-10-09,57.0,6.3,1.4,4.77,0.13,44.0,51.0,61.0,,53.0,55.0,14838.0,13.32,1415.0,49.0,177.0,53.0,21.0,3.42782
2025-10-10,70.0,6.88,1.25,5.05,0.58,44.0,52.0,59.0,,50.0,50.0,10568.0,9.11,841.0,51.0,152.0,32.0,1.0,5.43373
2025-10-11,69.0,5.8,0.97,4.0,0.83,22.0,47.0,56.0,,42.0,42.0,6125.0,5.54,381.0,53.0,131.0,0.0,0.0,1.10794
2025-10-12,49.0,3.86,1.23,2.15,0.48,28.0,46.0,54.0,,55.0,39.0,7707.0,5.58,228.0,54.0,139.0,0.0,0.0,11.0666
2025-10-13,77.0,7.42,1.02,5.37,1.03,15.0,60.0,54.0,,67.0,32.0,1443.0,1.17,21.0,49.0,98.0,0.0,0.0,0.0
2025-10-14,,,,,,,,52.0,,8.0,41.0,7012.0,5.49,157.0,54.0,103.0,0.0,0.0,9.10105
2025-10-15,88.0,7.62,1.7,4.23,1.68,3.0,58.0,52.0,,88.0,80.0,9060.0,8.05,606.0,48.0,162.0,39.0,21.0,8.17552
2025-10-16,82.0,8.27,1.68,4.83,1.75,28.0,54.0,53.0,,68.0,67.0,4686.0,3.75,81.0,49.0,109.0,0.0,0.0,9.75033
2025-10-17,83.0,7.13,2.03,3.3,1.8,13.0,51.0,53.0,,69.0,63.0,5414.0,4.35,115.0,49.0,108.0,0.0,0.0,11.13648
2025-10-18,53.0,4.22,0.6,2.98,0.65,6.0,52.0,53.0,,51.0,60.0,9862.0,9.88,502.0,51.0,151.0,32.0,18.0,5.0
2025-10-19,79.0,8.67,0.95,6.32,1.42,4.0,47.0,54.0,,55.0,37.0,8171.0,7.54,523.0,54.0,150.0,34.0,17.0,8.05643
2025-10-20,50.0,4.68,1.03,3.53,0.12,16.0,47.0,51.0,,40.0,47.0,8662.0,8.14,444.0,54.0,142.0,5.0,0.0,7.32382
2025-10-21,77.0,7.12,1.08,4.55,1.48,9.0,48.0,51.0,,48.0,48.0,7876.0,6.96,632.0,53.0,148.0,22.0,16.0,2.21194
2025-10-22,75.0,8.92,1.4,6.03,1.48,27.0,39.0,48.0,,46.0,44.0,16935.0,14.93,1102.0,55.0,161.0,40.0,32.0,7.01575
2025-10-23,88.0,8.57,1.05,5.48,2.05,4.0,53.0,48.0,,73.0,71.0,11161.0,10.7,1070.0,52.0,171.0,22.0,38.0,10.69193
2025-10-24,76.0,7.08,1.13,4.28,1.67,16.0,46.0,47.0,,58.0,52.0,12250.0,10.46,708.0,54.0,123.0,0.0,1.0,12.2956
2025-10-25,77.0,7.3,1.32,4.32,1.67,28.0,47.0,47.0,,53.0,56.0,8362.0,6.66,199.0,53.0,107.0,0.0,0.0,8.28379
2025-10-26,63.0,5.35,1.37,3.1,0.88,21.0,45.0,46.0,,45.0,42.0,6834.0,5.47,239.0,54.0,117.0,0.0,0.0,13.77133
2025-10-27,90.0,7.98,1.32,5.03,1.63,0.0,60.0,48.0,,78.0,81.0,5617.0,4.5,131.0,51.0,109.0,0.0,0.0,12.0
2025-10-28,76.0,6.28,1.12,3.88,1.28,12.0,55.0,49.0,,71.0,73.0,2979.0,2.37,58.0,50.0,102.0,0.0,0.0,6.74049
2025-10-29,63.0,5.08,1.47,3.0,0.62,10.0,52.0,51.0,,54.0,52.0,9373.0,7.65,365.0,50.0,146.0,0.0,0.0,23.4065
2025-10-30,80.0,8.57,1.37,5.25,1.95,21.0,49.0,50.0,,62.0,58.0,9581.0,7.65,338.0,53.0,129.0,0.0,0.0,16.40256
2025-10-31,81.0,8.46,1.37,5.12,1.98,16.0,49.0,51.0,,53.0,54.0,2987.0,2.41,86.0,55.0,115.0,0.0,0.0,7.0
2025-11-01,68.0,6.95,0.77,5.05,1.13,37.0,48.0,51.0,,43.0,47.0,1774.0,1.41,43.0,56.0,113.0,0.0,0.0,3.50033
2025-11-02,80.0,7.09,1.18,4.43,1.48,6.0,48.0,51.0,,58.0,59.0,2029.0,1.64,68.0,51.0,110.0,0.0,0.0,4.10925
2025-11-03,76.0,7.55,1.23,4.52,1.8,31.0,43.0,49.0,,40.0,40.0,2340.0,1.86,76.0,55.0,106.0,0.0,0.0,4.42651
2025-11-04,86.0,9.03,2.1,4.62,2.32,9.0,44.0,48.0,,53.0,39.0,3039.0,2.42,69.0,53.0,103.0,0.0,0.0,4.38812
2025-11-05,84.0,8.79,1.13,5.77,1.9,5.0,52.0,48.0,,55.0,61.0,3674.0,2.94,92.0,55.0,117.0,0.0,0.0,4.4065
2025-11-06,61.0,6.35,0.7,4.33,1.32,3.0,45.0,47.0,,33.0,41.0,5638.0,4.51,217.0,56.0,111.0,0.0,0.0,6.58005
2025-11-07,69.0,6.78,1.33,4.03,1.42,23.0,41.0,46.0,,26.0,26.0,9584.0,11.83,660.0,58.0,134.0,8.0,3.0,13.3563
2025-11-08,66.0,6.47,0.93,4.9,0.63,21.0,44.0,45.0,,30.0,30.0,11818.0,8.88,336.0,58.0,121.0,0.0,0.0,11.10367
